API v2.0.0
Time,P4,Fz,Pz,P3,PO8,PO7,Oz,Trial,Num_Sequences,Sequence,Tag,Label,Flash_Event
0.807279,-677.551000,-81.770295,-664.068417,-844.750401,-640.435444,-180.711828,-900.422026,-1,-1,-1,-1,-1,-1
0.811297,-660.394000,-76.324710,-655.300580,-831.788368,-605.019985,-160.856245,-889.555741,-1,-1,-1,-1,-1,-1
0.815263,-674.240000,-78.759588,-664.352773,-836.345512,-638.321720,-164.807439,-903.102183,-1,-1,-1,-1,-1,-1
0.819254,-689.892000,-79.096660,-680.004773,-850.499310,-660.259419,-189.754559,-926.243129,-1,-1,-1,-1,-1,-1
0.823243,-676.648000,-66.753538,-667.659612,-841.150636,-639.233125,-177.410087,-899.818584,-1,-1,-1,-1,-1,-1
0.827236,-673.638000,-58.938855,-665.248838,-833.646029,-628.440831,-163.006069,-902.200625,-1,-1,-1,-1,-1,-1
0.831219,-670.929000,-59.533075,-663.438676,-836.929839,-619.146813,-190.581170,-916.266863,-1,-1,-1,-1,-1,-1
0.835223,-666.715000,-71.234588,-658.625450,-827.921591,-621.817150,-174.973152,-896.475856,-1,-1,-1,-1,-1,-1
0.839201,-685.076000,-88.995002,-667.998062,-836.993735,-636.287003,-183.739189,-915.735530,-1,-1,-1,-1,-1,-1
0.843181,-679.658000,-91.985198,-663.778514,-838.167826,-619.195562,-200.509541,-894.740523,-1,-1,-1,-1,-1,-1
0.847184,-695.009000,-86.015416,-673.736481,-840.334644,-645.322046,-193.072504,-923.272067,-1,-1,-1,-1,-1,-1
0.851181,-695.310000,-86.016124,-676.434384,-842.433487,-652.507383,-195.472402,-931.361571,-1,-1,-1,-1,-1,-1
0.855153,-691.397000,-80.901953,-674.319062,-842.715454,-636.022985,-198.455781,-921.756972,-1,-1,-1,-1,-1,-1
0.859156,-686.882000,-82.693099,-673.099805,-844.193264,-621.630458,-212.830865,-923.233129,-1,-1,-1,-1,-1,-1
0.863142,-685.678000,-83.290856,-672.195417,-842.090343,-632.099899,-209.827809,-913.042394,-1,-1,-1,-1,-1,-1
0.867123,-678.454000,-80.871539,-667.068708,-840.859153,-614.998372,-213.697985,-904.320604,-1,-1,-1,-1,-1,-1
0.870760,-681.163000,-77.874978,-672.174612,-839.373186,-615.911458,-218.805726,-929.496442,-1,-1,-1,-1,-1,-1
0.874735,-673.939000,-73.053319,-662.553708,-834.246669,-626.646598,-221.776374,-907.594108,-1,-1,-1,-1,-1,-1
