API v2.0.0
Time,P4,Pz,P3,PO8,PO7,Oz,TRG,Eye_Time,Eye_X,Eye_Y,Trial,Num_Sequences,Sequence,Tag,Label,Flash_Event
0.509155,-4648.042000,5176.599167,5190.143753,5184.424928,5178.104121,5174.492231,0.000000,0.000000,0.000000,0.000000,-1,-1,-1,-1,-1,-1
0.512488,-5993.211000,3831.430167,3844.974753,3839.255928,3832.935121,3829.323231,0.000000,0.000000,0.000000,0.000000,-1,-1,-1,-1,-1,-1
0.515821,-6842.633000,2982.008167,2995.552753,2989.833928,2983.513121,2979.901231,0.000000,0.000000,0.000000,0.000000,-1,-1,-1,-1,-1,-1
0.519155,-5691.308000,4133.333167,4146.877753,4141.158928,4134.838121,4131.226231,0.000000,0.000000,0.000000,0.000000,-1,-1,-1,-1,-1,-1
0.522488,-4436.138000,5388.503167,5402.047753,5396.328928,5390.008121,5386.396231,0.000000,0.000000,0.000000,0.000000,-1,-1,-1,-1,-1,-1
0.525821,-3269.161000,6555.480167,6569.024753,6563.305928,6556.985121,6553.373231,0.000000,0.000000,0.000000,0.000000,-1,-1,-1,-1,-1,-1
0.529155,-2424.254000,7400.387167,7413.931753,7408.212928,7401.892121,7398.280231,0.000000,0.000000,0.000000,0.000000,-1,-1,-1,-1,-1,-1
0.532488,-1509.515000,8315.126167,8328.670753,8322.951928,8316.631121,8313.019231,0.000000,0.000000,0.000000,0.000000,-1,-1,-1,-1,-1,-1
0.532488,-1509.515000,8315.126167,8328.670753,8322.951928,8316.631121,8313.019231,0.000000,0.000000,0.000000,0.000000,-1,-1,-1,-1,-1,-1
0.532488,-1509.515000,8315.126167,8328.670753,8322.951928,8316.631121,8313.019231,0.000000,0.000000,0.000000,0.000000,-1,-1,-1,-1,-1,-1
0.532488,-1509.515000,8315.126167,8328.670753,8322.951928,8316.631121,8313.019231,0.000000,0.000000,0.000000,0.000000,-1,-1,-1,-1,-1,-1
0.532488,-1509.515000,8315.126167,8328.670753,8322.951928,8316.631121,8313.019231,0.000000,0.000000,0.000000,0.000000,-1,-1,-1,-1,-1,-1
0.532488,-1509.515000,8315.126167,8328.670753,8322.951928,8316.631121,8313.019231,0.000000,0.000000,0.000000,0.000000,-1,-1,-1,-1,-1,-1
0.532488,-1509.515000,8315.126167,8328.670753,8322.951928,8316.631121,8313.019231,0.000000,0.000000,0.000000,0.000000,-1,-1,-1,-1,-1,-1
0.532488,-1509.515000,8315.126167,8328.670753,8322.951928,8316.631121,8313.019231,0.000000,0.000000,0.000000,0.000000,-1,-1,-1,-1,-1,-1
0.532488,-1509.515000,8315.126167,8328.670753,8322.951928,8316.631121,8313.019231,0.000000,0.000000,0.000000,0.000000,-1,-1,-1,-1,-1,-1
0.532488,-1509.515000,8315.126167,8328.670753,8322.951928,8316.631121,8313.019231,0.000000,0.000000,0.000000,0.000000,-1,-1,-1,-1,-1,-1
0.532488,-1509.515000,8315.126167,8328.670753,8322.951928,8316.631121,8313.019231,0.000000,0.000000,0.000000,0.000000,-1,-1,-1,-1,-1,-1
0.532488,-1509.515000,8315.126167,8328.670753,8322.951928,8316.631121,8313.019231,0.000000,0.000000,0.000000,0.000000,-1,-1,-1,-1,-1,-1
0.532488,-1509.515000,8315.126167,8328.670753,8322.951928,8316.631121,8313.019231,0.000000,0.000000,0.000000,0.000000,-1,-1,-1,-1,-1,-1
0.532488,-1509.515000,8315.126167,8328.670753,8322.951928,8316.631121,8313.019231,0.000000,0.000000,0.000000,0.000000,-1,-1,-1,-1,-1,-1
0.532488,-1509.515000,8315.126167,8328.670753,8322.951928,8316.631121,8313.019231,0.000000,0.000000,0.000000,0.000000,-1,-1,-1,-1,-1,-1
0.532488,-1509.515000,8315.126167,8328.670753,8322.951928,8316.631121,8313.019231,0.000000,0.000000,0.000000,0.000000,-1,-1,-1,-1,-1,-1
0.532488,-1509.515000,8315.126167,8328.670753,8322.951928,8316.631121,8313.019231,0.000000,0.000000,0.000000,0.000000,-1,-1,-1,-1,-1,-1
0.532488,-1509.515000,8315.126167,8328.670753,8322.951928,8316.631121,8313.019231,0.000000,0.000000,0.000000,0.000000,-1,-1,-1,-1,-1,-1
0.532488,-1509.515000,8315.126167,8328.670753,8322.951928,8316.631121,8313.019231,0.000000,0.000000,0.000000,0.000000,-1,-1,-1,-1,-1,-1
0.532488,-1509.515000,8315.126167,8328.670753,8322.951928,8316.631121,8313.019231,0.000000,0.000000,0.000000,0.000000,-1,-1,-1,-1,-1,-1
0.532488,-1509.515000,8315.126167,8328.670753,8322.951928,8316.631121,8313.019231,0.000000,0.000000,0.000000,0.000000,-1,-1,-1,-1,-1,-1
0.532488,-1509.515000,8315.126167,8328.670753,8322.951928,8316.631121,8313.019231,0.000000,0.000000,0.000000,0.000000,-1,-1,-1,-1,-1,-1
0.532488,-1509.515000,8315.126167,8328.670753,8322.951928,8316.631121,8313.019231,0.000000,0.000000,0.000000,0.000000,-1,-1,-1,-1,-1,-1
0.532488,-1509.515000,8315.126167,8328.670753,8322.951928,8316.631121,8313.019231,0.000000,0.000000,0.000000,0.000000,-1,-1,-1,-1,-1,-1
0.532488,-1509.515000,8315.126167,8328.670753,8322.951928,8316.631121,8313.019231,0.000000,0.000000,0.000000,0.000000,-1,-1,-1,-1,-1,-1
0.532488,-1509.515000,8315.126167,8328.670753,8322.951928,8316.631121,8313.019231,0.000000,0.000000,0.000000,0.000000,-1,-1,-1,-1,-1,-1
0.532488,-1509.515000,8315.126167,8328.670753,8322.951928,8316.631121,8313.019231,0.000000,0.000000,0.000000,0.000000,-1,-1,-1,-1,-1,-1
0.532488,-1509.515000,8315.126167,8328.670753,8322.951928,8316.631121,8313.019231,0.000000,0.000000,0.000000,0.000000,-1,-1,-1,-1,-1,-1
0.532488,-1509.515000,8315.126167,8328.670753,8322.951928,8316.631121,8313.019231,0.000000,0.000000,0.000000,0.000000,-1,-1,-1,-1,-1,-1
0.532488,-1509.515000,8315.126167,8328.670753,8322.951928,8316.631121,8313.019231,0.000000,0.000000,0.000000,0.000000,-1,-1,-1,-1,-1,-1
0.532488,-1509.515000,8315.126167,8328.670753,8322.951928,8316.631121,8313.019231,0.000000,0.000000,0.000000,0.000000,-1,-1,-1,-1,-1,-1
0.532488,-1509.515000,8315.126167,8328.670753,8322.951928,8316.631121,8313.019231,0.000000,0.000000,0.000000,0.000000,-1,-1,-1,-1,-1,-1
0.639234,-819.924000,9004.717167,9018.261753,9012.542928,9006.222121,9002.610231,0.000000,0.000000,0.000000,0.000000,-1,-1,-1,-1,-1,-1
0.642567,-177.590000,9647.051167,9660.595753,9654.876928,9648.556121,9644.944231,0.000000,0.000000,0.000000,0.000000,-1,-1,-1,-1,-1,-1
0.642567,-177.590000,9647.051167,9660.595753,9654.876928,9648.556121,9644.944231,0.000000,0.000000,0.000000,0.000000,-1,-1,-1,-1,-1,-1
0.649234,940.625000,10765.266167,10778.810753,10773.091928,10766.771121,10763.159231,0.000000,0.000000,0.000000,0.000000,-1,-1,-1,-1,-1,-1
0.652567,1263.297000,11087.938167,11101.482753,11095.763928,11089.443121,11085.831231,0.000000,0.000000,0.000000,0.000000,-1,-1,-1,-1,-1,-1
0.655900,1253.665000,11078.006333,11091.550506,11085.831856,11079.511241,11075.899462,0.000000,0.000000,0.000000,0.000000,-1,-1,-1,-1,-1,-1
